tamanho,tempo,L3_bandwidth,L2_miss,flops_dp,flops_avx
32,0.00072205,865.7837,0.3252,1441.6354,481.6049
64,0.00118303,2675.924,0.3242,1530.3485,507.4635
128,0.00166392,1642.7664,0.3086,1625.2733,483.654
256,0.003456,839.3819,0.2432,1657.2207,530.2368
512,0.00600505,589.0613,0.0431,1421.2456,447.7082
1000,0.02539599,135.7766,0.0913,1686.6067,519.186
2000,0.03653097,1442.0819,0.1207,1478.7291,516.0304
4000,0.045591,7839.931,0.2121,1595.8046,545.8206
8000,0.11562693,3406.9876,0.2789,1689.9844,534.46
9000,0.12637103,11946.2334,0.2887,1595.4469,510.9077
10000,0.13762593,12346.0603,0.3043,1597.0662,250.032
20000,0.32101107,13222.6034,0.3294,653.4491,489.4312
